,number,species,lon,lat
711,AMCC267514,Agkistrodon contortrix,-95.08112,31.31071
721,AMCC267515,Agkistrodon contortrix,-94.97042,31.20593
73,AMCC267516,Agkistrodon contortrix,-95.1551,31.38735
741,AMCC267517,Agkistrodon contortrix,-96.00771,31.63945
751,AMCC267518,Agkistrodon contortrix,-95.99331,31.63339
76,AMCC267519,Agkistrodon contortrix,-95.98828,31.64148
77,AMCC267520,Agkistrodon contortrix,-95.98759,31.64298
781,AMCC267521,Agkistrodon contortrix,-95.96072,31.62929
79,AMCC267522,Agkistrodon contortrix,-96.12719,31.75333
801,AMCC267523,Agkistrodon contortrix,-95.73278,30.66958
81,AMCC267524,Agkistrodon contortrix,-97.20956,30.10446
82,AMCC267525,Agkistrodon contortrix,-86.4058,30.938
831,AMCC267526,Agkistrodon contortrix,-84.66576,31.8547
841,AMCC267527,Agkistrodon contortrix,-81.54755,32.13062
851,AMCC267528,Agkistrodon contortrix,-81.54755,32.13062
861,AMCC267529,Agkistrodon contortrix,-83.16118,31.9073
871,AMCC267530,Agkistrodon contortrix,-83.18054,31.94167
881,AMCC267532,Agkistrodon contortrix,-79.54343,35.33391
891,AMCC267533,Agkistrodon contortrix,-84.70808,35.12384
901,AMCC267534,Agkistrodon contortrix,-86.19388,31.2094
911,AMCC267535,Agkistrodon contortrix,-84.96451,31.64204
921,AMCC267537,Agkistrodon contortrix,-83.582,32.30377
931,AMCC267538,Agkistrodon contortrix,-81.44222,32.21228
941,AMCC267539,Agkistrodon contortrix,-83.72838,32.4116
961,AMCC267540,Agkistrodon contortrix,-86.48451,30.91969
971,AMCC267541,Agkistrodon contortrix,-84.01044,31.95624
981,AMCC267542,Agkistrodon contortrix,-82.85306,32.25493
991,AMCC267543,Agkistrodon contortrix,-82.94447,32.24104
1061,AMCC267443,"Agkistrodon contortrix contortrix Linnaeus, 1766",-84.97253,30.50606
1071,AMCC264814,Diadophis punctatus,-81.09523,28.61142
1081,AMCC264779,Diadophis punctatus,-85.41798,32.42209
1091,AMCC264780,Diadophis punctatus,-87.3593,32.903
1101,AMCC264781,Diadophis punctatus,-87.3593,32.903
1111,AMCC264783,Diadophis punctatus,-85.535,33.84331
1121,AMCC264784,Diadophis punctatus,-85.535,33.84331
1131,AMCC264785,Diadophis punctatus,-85.535,33.84331
1141,AMCC264816,Diadophis punctatus,-82.46743,30.28375
1151,AMCC264818,Diadophis punctatus,-82.91732,29.29947
1161,AMCC264820,Diadophis punctatus,-83.30911,29.85743
1171,AMCC264776,Diadophis punctatus,-81.49404,32.14259
1181,AMCC264782,Diadophis punctatus,-89.29247,34.37933
1191,AMCC264763,Diadophis punctatus,-74.06764,41.95633
1201,AMCC264777,Diadophis punctatus,-81.11814,32.37906
1211,AMCC264778,Diadophis punctatus,-81.11814,32.37906
1221,AMCC264786,Diadophis punctatus,-81.59624,34.53627
1231,AMCC264764,Diadophis punctatus,-78.81839,38.87172
1241,AMCC264765,Diadophis punctatus,-78.83053,38.9295
125,AMCC264767,Diadophis punctatus,-79.59639,38.88219
126,AMCC264768,Diadophis punctatus,-79.16139,39.00261
127,AMCC264752,Diadophis punctatus,-75.58114,39.58861
128,AMCC264753,Diadophis punctatus,-75.58114,39.58861
129,AMCC264754,Diadophis punctatus,-75.58114,39.58861
130,AMCC264755,Diadophis punctatus,-75.58114,39.58864
131,AMCC264756,Diadophis punctatus,-78.69094,38.90786
132,AMCC264757,Diadophis punctatus,-76.95911,37.03261
133,AMCC264766,Diadophis punctatus,-79.51328,38.94583
134,AMCC264774,Diadophis punctatus,-83.57207,34.58527
135,AMCC264775,Diadophis punctatus,-81.990095,28.121591
136,AMCC264788,Diadophis punctatus,-82.08531,28.87128
137,AMCC264789,Diadophis punctatus,-82.33714,25.43728
1381,AMCC264790,Diadophis punctatus,-82.33714,25.43728
1391,AMCC264794,Diadophis punctatus,-93.1815,33.3479
1401,AMCC264795,Diadophis punctatus,-78.9167,39.56849
1411,AMCC264796,Diadophis punctatus,-84.477169,31.221356
1421,AMCC264797,Diadophis punctatus,-84.477169,31.221356
143,AMCC264798,Diadophis punctatus,-83.3167,34.9604
144,AMCC264800,Diadophis punctatus,-77.88644,37.31625
